id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,last_credit_pull_d
66964,247990,7500,7500,986, 36 months,0.1324,253.58,D,D3,3 years,MORTGAGE,138000,Not Verified,2008-06-01,Fully Paid,662xx,KS,9.16,1,01-08-1996,2,10,NA,11,0,5122,0.182,37,f,0,0,9128.550873,1012.95,7500,1628.55,0,0,0,2011-06-01,253.87,2011-06-01
67503,252415,10000,10000,10000, 36 months,0.0859,316.11,A,A4,1 year,MORTGAGE,56000,Not Verified,2009-10-01,Fully Paid,485xx,MI,15.49,0,01-12-1991,0,NA,NA,7,0,6068,0.167,49,f,0,0,11280.38272,11280.38,10000,1280.38,0,0,0,2012-02-01,3064.45,2014-02-01
68163,258249,3000,3000,3000, 36 months,0.0714,92.82,A,A3,9 years,MORTGAGE,100000,Not Verified,2010-02-01,Fully Paid,300xx,GA,6.5,1,01-02-1998,0,16,NA,14,0,3021,0.048,25,f,0,0,3341.641503,3341.64,3000,341.64,0,0,0,2013-02-01,97.75,2013-02-01
68381,260179,6625,6625,6475, 36 months,0.0863,209.54,A,A5,< 1 year,RENT,13200,Not Verified,2008-03-01,Fully Paid,926xx,CA,9.73,0,01-12-2003,0,NA,NA,3,0,6282,0.446,9,f,0,0,7541.803814,7371.04,6625,916.8,0,0,0,2011-03-01,424.12,2015-03-01
68817,264119,10000,10000,2475, 36 months,0.1103,327.53,C,C1,10+ years,MORTGAGE,46116,Not Verified,2008-03-01,Fully Paid,273xx,NC,13.04,0,01-11-1985,1,45,NA,7,0,5394,0.534,23,f,0,0,11709.14052,2898.01,10000,1709.14,0,0,0,2010-09-01,23.15,2010-09-01
68926,264924,2300,2300,590, 36 months,0.1317,77.69,D,D2,10+ years,RENT,37152,Verified,2008-08-01,Fully Paid,088xx,NJ,2.26,0,01-12-1997,0,46,0,4,0,2211,0.884,13,f,0,0,2796.601136,643.5,2300,496.6,0,0,0,2011-09-01,77.78,2016-05-01
69001,265533,15000,15000,14875, 36 months,0.0894,476.58,A,A5,< 1 year,MORTGAGE,110000,Not Verified,2009-09-01,Fully Paid,146xx,NY,7.07,0,01-11-1991,1,0,0,6,0,7586,0.527,19,f,0,0,17135.51023,16992.71,15000,2135.51,0,0,0,2012-07-01,1919.13,2015-08-01
69124,266619,18000,18000,11636, 36 months,0.1039,584.12,B,B4,10+ years,MORTGAGE,36000,Not Verified,2008-03-01,Fully Paid,980xx,WA,3.8,0,01-08-2000,0,NA,NA,2,0,8311,0.598,9,f,0,0,21027.94463,13395.7,18000,3027.95,0,0,0,2011-04-01,598.22,2016-05-01
69168,266943,5000,5000,4975, 36 months,0.1513,173.65,E,E4,2 years,RENT,60000,Verified,2008-04-01,Fully Paid,415xx,KY,2.74,0,01-02-2005,3,NA,NA,2,0,591,0.844,6,f,0,0,6251.187621,6219.93,5000,1251.19,0,0,0,2011-04-01,184.81,2016-05-01
69251,267771,6000,6000,500, 36 months,0.08,188.02,A,A3,< 1 year,MORTGAGE,75000,Not Verified,2008-05-01,Fully Paid,441xx,OH,16.08,0,01-12-1994,1,0,0,16,0,29797,0.232,39,f,0,0,6783.750468,565.31,5999.99,768.76,15,0,0,2011-05-01,189.36,2011-05-01
69550,270212,11200,11200,11188, 60 months,0.1533,268.4,D,D3,2 years,RENT,46000,Not Verified,2010-05-01,Fully Paid,850xx,AZ,17.19,0,01-10-2005,1,NA,NA,7,0,7248,0.692,11,f,0,0,15923.97483,15899.19,11200,4723.97,0,0,0,2014-08-01,2816.71,2016-05-01
69828,272798,15000,15000,13139, 36 months,0.0863,474.42,A,A5,10+ years,OWN,50000,Not Verified,2008-03-01,Fully Paid,488xx,MI,2.59,0,01-06-1975,0,0,0,4,0,5656,0.276,25,f,0,0,17208.17701,15033.5,15000,2113.3,94.88000045,0,0,2011-08-01,38.2,2011-08-01
69924,274280,10000,10000,8791, 36 months,0.1355,339.6,D,D4,3 years,RENT,100000,Not Verified,2008-03-01,Fully Paid,941xx,CA,7.94,0,01-11-2002,0,0,0,11,0,21162,0.577,14,f,0,0,12225.41138,10738.03,10000,2225.41,0,0,0,2011-04-01,359.55,2016-02-01
69990,275254,15500,15500,14400, 36 months,0.0788,484.85,A,A5,< 1 year,RENT,125000,Not Verified,2010-02-01,Fully Paid,068xx,CT,7.05,0,01-09-1994,1,NA,NA,8,0,16931,0.346,21,f,0,0,17438.40519,16200.84,15500,1938.41,0,0,0,2013-02-01,472.56,2013-02-01
70348,280311,9600,9600,9266, 36 months,0.1229,320.19,C,C5,4 years,RENT,78000,Not Verified,2008-03-01,Fully Paid,606xx,IL,8.8,0,01-11-1997,0,68,63,5,1,4822,0.581,27,f,0,0,11340.97,10947.16,9600,1740.97,0,0,0,2010-05-01,3773.06,2016-05-01
76597,76583,5000,5000,1775, 36 months,0.0901,159.03,B,B2,1 year,MORTGAGE,250000,Not Verified,2007-07-01,Fully Paid,100xx,NY,10,2,01-04-2003,0,5,NA,5,0,14354,0.366,7,f,0,0,5725.016258,2032.38,5000,725.02,0,0,0,2010-07-01,160.61,2010-07-01
84918,84914,5000,5000,2025, 36 months,0.0743,155.38,A,A2,10+ years,MORTGAGE,65000,Not Verified,2007-09-01,Fully Paid,024xx,MA,0.28,0,01-12-1994,1,NA,NA,12,0,1576,0.057,21,f,0,0,5200.462983,2106.19,5000,200.46,0,0,0,2008-04-01,4268.52,2007-06-01
87023,86999,7500,7500,800, 36 months,0.1375,255.43,E,E2,< 1 year,OWN,22000,Not Verified,2007-06-01,Fully Paid,027xx,MA,14.29,1,01-10-2003,0,11,0,7,0,4175,0.515,8,f,0,0,9195.263334,980.83,7500,1695.26,0,0,0,2010-06-01,256.59,2010-06-01
88854,70699,5000,5000,225, 36 months,0.0743,155.38,A,A2,4 years,RENT,200000,Not Verified,2007-08-01,Fully Paid,100xx,NY,0.28,0,01-03-1995,0,0,0,2,0,3164,0.137,2,f,0,0,5174.194867,232.85,5000,174.19,0,0,0,2008-03-01,0,2007-05-01
90376,89243,5000,5000,650, 36 months,0.0743,155.38,A,A2,< 1 year,MORTGAGE,200000,Not Verified,2007-07-01,Fully Paid,208xx,MD,3.72,0,01-11-1988,0,0,0,17,0,85607,0.007,26,f,0,0,5174.198551,672.66,5000,174.2,0,0,0,2008-01-01,0,2007-06-01
90395,90390,5000,5000,1325, 36 months,0.0807,156.84,A,A4,< 1 year,MORTGAGE,100000,Not Verified,2007-07-01,Fully Paid,017xx,MA,2.3,0,01-10-1998,0,0,0,11,0,9698,0.194,20,f,0,0,5272.161128,1397.12,5000,272.16,0,0,0,2008-04-01,0,2007-06-01
90665,90607,8500,8500,875, 36 months,0.1028,275.38,C,C1,3 years,RENT,18000,Not Verified,2007-07-01,Fully Paid,274xx,NC,6.4,1,01-12-1986,1,5,0,6,0,8847,0.269,9,f,0,0,9913.491822,1020.51,8500,1413.49,0,0,0,2010-07-01,281.94,2010-07-01
90966,90962,5000,5000,4150, 36 months,0.0743,155.38,A,A2,8 years,MORTGAGE,150000,Not Verified,2007-07-01,Fully Paid,303xx,GA,0,0,01-12-1987,0,0,0,2,0,6053,0.195,19,f,0,0,5174.186842,4294.58,5000,174.19,0,0,0,2008-01-01,4397.47,2007-06-01
92187,92174,2500,2500,1075, 36 months,0.0807,78.42,A,A4,4 years,MORTGAGE,110000,Not Verified,2007-07-01,Fully Paid,802xx,CO,11.33,0,01-11-1990,0,0,0,13,0,7274,0.131,40,f,0,0,2822.969293,1213.88,2500,322.97,0,0,0,2010-07-01,80.9,2010-06-01
92402,92390,5000,5000,700, 36 months,0.087,158.3,B,B1,5 years,MORTGAGE,75000,Not Verified,2007-07-01,Fully Paid,804xx,CO,15.55,0,01-05-1994,0,0,0,10,0,66033,0.23,29,f,0,0,5698.603286,797.8,5000,698.6,0,0,0,2010-07-01,159.83,2014-11-01
92440,92423,5000,5000,3100, 36 months,0.0743,155.38,A,A2,7 years,MORTGAGE,95000,Not Verified,2007-07-01,Fully Paid,017xx,MA,3.83,0,01-07-2000,0,0,0,8,0,3660,0.068,16,f,0,0,5593.631701,3468.05,5000,593.63,0,0,0,2010-07-01,157.38,2007-06-01
92507,92502,5000,5000,250, 36 months,0.0743,155.38,A,A2,1 year,OWN,85000,Not Verified,2007-07-01,Fully Paid,537xx,WI,0.31,0,01-10-1997,0,0,0,7,0,216,0.006,19,f,0,0,5593.626092,279.68,5000,593.63,0,0,0,2010-07-01,156.29,2007-06-01
92533,92529,5000,5000,675, 36 months,0.1122,164.23,C,C4,< 1 year,OWN,80000,Not Verified,2007-07-01,Fully Paid,537xx,WI,1.21,0,01-07-1996,3,0,44,15,1,27185,0.161,29,f,0,0,5912.052998,798.13,5000,912.05,0,0,0,2010-07-01,165.17,2007-06-01
92552,92542,5000,5000,375, 36 months,0.0996,161.25,B,B5,4 years,MORTGAGE,48000,Not Verified,2007-07-01,Fully Paid,333xx,FL,8.03,0,01-08-1995,1,0,0,6,0,28329,0.486,6,f,0,0,5804.732505,435.36,5000,804.73,0,0,0,2010-07-01,162.07,2010-06-01
92666,92661,5000,5000,525, 36 months,0.0933,159.77,B,B3,2 years,MORTGAGE,180000,Not Verified,2007-07-01,Fully Paid,530xx,WI,11.93,0,01-02-1995,1,0,0,16,0,60568,0.392,38,f,0,0,5751.530533,603.91,5000,751.53,0,0,0,2010-07-01,161.55,2007-06-01
92676,92671,5000,5000,150, 36 months,0.0807,156.84,A,A4,< 1 year,MORTGAGE,180000,Not Verified,2007-07-01,Fully Paid,530xx,WI,5.55,0,01-06-1996,0,0,0,12,0,40934,0.263,39,f,0,0,5645.957239,169.38,5000,645.96,0,0,0,2010-07-01,157.31,2007-06-01
93061,93057,5000,5000,250, 36 months,0.0743,155.38,A,A2,8 years,MORTGAGE,120000,Not Verified,2007-07-01,Fully Paid,017xx,MA,2.29,0,01-10-1997,0,0,0,8,0,8379,0.169,16,f,0,0,5593.631701,279.69,5000,593.63,0,0,0,2010-07-01,157.02,2010-06-01
93277,93254,3000,3000,950, 36 months,0.087,94.98,B,B1,< 1 year,MORTGAGE,25000,Not Verified,2007-07-01,Fully Paid,017xx,MA,14.54,0,01-09-2000,1,0,0,10,0,3660,0.078,13,f,0,0,3419.14485,1082.73,3000,419.14,0,0,0,2010-07-01,97.45,2010-07-01
94838,73673,3000,3000,2550, 36 months,0.1028,97.2,C,C1,2 years,MORTGAGE,200000,Not Verified,2007-07-01,Fully Paid,100xx,NY,0,1,01-02-1997,0,19,0,5,0,0,0,8,f,0,0,3498.858899,2974.03,3000,498.86,0,0,0,2010-07-01,98.49,2013-02-01
96350,96338,5000,5000,850, 36 months,0.1122,164.23,C,C4,1 year,OWN,30000,Not Verified,2007-07-01,Fully Paid,314xx,GA,18.64,0,01-04-1993,0,0,0,10,0,15840,0.471,12,f,0,0,5912.052998,1005.05,5000,912.05,0,0,0,2010-07-01,166.25,2012-10-01
96844,95222,5300,5300,600, 36 months,0.0838,167.02,A,A5,7 years,MORTGAGE,74000,Not Verified,2007-07-01,Fully Paid,461xx,IN,14.37,0,01-02-1992,0,0,0,15,0,6844,0.144,29,f,0,0,6012.561053,680.67,5300,712.56,0,0,0,2010-07-01,170.05,2010-07-01
98276,98268,5400,5400,200, 36 months,0.0775,168.6,A,A3,< 1 year,RENT,8000,Not Verified,2007-07-01,Fully Paid,306xx,GA,3,0,01-03-1989,0,0,0,4,0,1321,0.165,4,f,0,0,6069.341452,224.8,5400,669.34,0,0,0,2010-07-01,169.09,2013-12-01
98339,97572,5100,5100,575, 36 months,0.0838,160.72,A,A5,4 years,RENT,32000,Not Verified,2007-07-01,Fully Paid,469xx,IN,14.78,0,01-06-1995,0,0,0,11,0,4737,0.239,22,f,0,0,5779.031624,651.56,5100,679.03,0,0,0,2010-04-01,638.15,2007-06-01
98982,98957,5000,5000,675, 36 months,0.0901,159.03,B,B2,1 year,RENT,73000,Not Verified,2007-07-01,Fully Paid,222xx,VA,9.96,0,01-01-1999,0,0,0,21,0,23489,0.376,28,f,0,0,5725.016258,772.88,5000,725.02,0,0,0,2010-07-01,160.02,2010-07-01
99009,98991,5750,5750,3675, 36 months,0.0743,178.69,A,A2,10+ years,MORTGAGE,125000,Not Verified,2007-07-01,Fully Paid,020xx,MA,0.27,0,01-01-1987,0,0,0,10,0,2817,0.102,16,f,0,0,6421.743349,4104.33,5750,671.74,0,0,0,2010-05-01,4.74,2010-04-01
100214,100208,5000,5000,3675, 36 months,0.0743,155.38,A,A2,< 1 year,OWN,45000,Not Verified,2007-08-01,Fully Paid,537xx,WI,1.12,0,01-08-1991,1,0,0,5,0,1783,0,11,f,0,0,5593.634135,4111.32,5000,593.63,0,0,0,2010-08-01,157.74,2007-06-01
101579,100083,10000,10000,400, 36 months,0.1028,323.98,C,C1,< 1 year,RENT,27376,Not Verified,2007-07-01,Fully Paid,805xx,CO,10.7,0,01-09-2003,0,0,0,4,0,3534,0.544,4,f,0,0,11662.89219,466.52,10000,1662.89,0,0,0,2010-07-01,328.93,2010-10-01
102376,95212,25000,25000,525, 36 months,0.1059,813.65,C,C2,2 years,RENT,48000,Not Verified,2007-07-01,Fully Paid,113xx,NY,4.05,0,01-01-2000,0,0,0,5,0,2422,0.233,12,f,0,0,29269.95527,614.67,25000,4269.96,0,0,0,2010-06-01,3.54,2010-06-01
106079,106039,3500,3500,1200, 36 months,0.0996,112.87,B,B5,< 1 year,RENT,13500,Not Verified,2007-07-01,Fully Paid,339xx,FL,16.44,0,01-12-2002,1,0,0,10,0,2864,0.411,16,f,0,0,3942.013096,1351.55,3500,442.01,0,0,0,2009-03-01,1798.54,2016-05-01
106360,106333,2700,2700,550, 36 months,0.1596,94.88,F,F4,1 year,RENT,52200,Not Verified,2007-07-01,Fully Paid,021xx,MA,12.57,0,01-08-2003,1,0,0,12,0,3075,0.923,13,f,0,0,3415.389823,695.73,2700,715.39,0,0,0,2010-07-01,96.4,2010-07-01
107136,107130,12250,12250,1525, 36 months,0.1059,398.69,C,C2,3 years,RENT,60000,Not Verified,2007-07-01,Fully Paid,330xx,FL,17.12,1,01-02-1969,2,19,0,10,0,17214,0.081,24,f,0,0,13128.88362,1634.41,12250,878.88,0,0,0,2008-04-01,9939.88,2007-07-01
109355,109346,1200,1200,0, 36 months,0.1154,39.6,C,C5,< 1 year,RENT,20000,Not Verified,2007-07-01,Fully Paid,041xx,ME,2.04,0,01-05-2004,2,24,0,3,0,1153,0.758,4,f,0,0,1425.37,0,1200,225.37,0,0,0,2010-07-01,39.45,2010-07-01
111227,111223,20000,20000,2800, 36 months,0.1343,678.08,E,E1,6 years,MORTGAGE,145000,Not Verified,2007-08-01,Charged Off,331xx,FL,10.15,0,01-01-1996,0,NA,NA,17,0,41674,0.741,26,f,0,0,20339.66,2845.82,16077.42,4262.24,0,0,0,2010-02-01,678.08,2016-05-01
111307,105982,12000,12000,2500, 36 months,0.1249,401.37,D,D3,9 years,OWN,75000,Not Verified,2007-08-01,Fully Paid,334xx,FL,15,0,01-04-1995,3,78,0,9,0,43039,0.934,24,f,0,0,14449.28798,3010.27,12000,2449.29,0,0,0,2010-07-01,402.93,2010-07-01
111917,111912,6400,6400,4075, 36 months,0.0964,205.45,B,B4,1 year,RENT,60000,Not Verified,2007-08-01,Fully Paid,535xx,WI,7.72,0,01-04-2001,0,NA,NA,7,0,3362,0.693,8,f,0,0,7395.962477,4709.15,6400,995.96,0,0,0,2010-08-01,206.58,2010-07-01
112216,106279,12000,12000,1025, 36 months,0.1186,397.75,D,D1,1 year,RENT,65000,Not Verified,2007-08-01,Fully Paid,112xx,NY,7.14,2,01-08-1983,0,2,0,6,0,11868,0.719,23,f,0,0,14361.46082,1226.71,12000,2341.57,19.89,0,0,2011-03-01,239.9,2011-03-01
112245,112227,5000,5000,3975, 36 months,0.0743,155.38,A,A2,6 years,RENT,40000,Not Verified,2007-07-01,Fully Paid,547xx,WI,2.55,0,01-02-1985,2,0,0,4,0,2562,0.14,7,f,0,0,5593.638527,4446.94,5000,593.64,0,0,0,2010-08-01,158.65,2016-04-01
112323,107671,3500,3500,1125, 36 months,0.1028,113.39,C,C1,< 1 year,RENT,20000,Not Verified,2007-07-01,Fully Paid,021xx,MA,1.5,0,01-09-2003,0,0,0,17,0,1882,0.324,18,f,0,0,4097.157701,1316.94,3500,582.16,15,0,0,2010-09-01,6.57,2010-08-01
112496,112493,3000,3000,525, 36 months,0.1186,99.44,D,D1,2 years,MORTGAGE,36153,Not Verified,2007-08-01,Fully Paid,479xx,IN,7.47,0,01-07-2000,2,0,61,3,1,1064,0.709,6,f,0,0,3579.662273,626.44,3000,579.66,0,0,0,2010-08-01,101.51,2010-07-01
113156,113146,3500,3500,3500, 36 months,0.0807,109.79,A,A4,5 years,RENT,98000,Not Verified,2007-08-01,Fully Paid,070xx,NJ,8.52,1,01-11-1993,0,15,0,19,0,6432,0.06,37,f,0,0,3952.171178,3952.17,3500,452.17,0,0,0,2010-08-01,110.07,2010-07-01
113179,113093,1000,1000,950, 36 months,0.1059,32.55,C,C2,2 years,MORTGAGE,33990,Not Verified,2007-08-01,Charged Off,245xx,VA,14.47,0,01-07-2004,1,0,0,9,0,4485,0.369,11,f,0,0,703.95,668.87,544.02,138.64,0,21.29,0.23,2009-05-01,32.55,2009-10-01
113194,113115,3500,3500,1725, 36 months,0.0996,112.87,B,B5,1 year,RENT,78000,Not Verified,2007-08-01,Fully Paid,070xx,NJ,11.06,1,01-11-1993,0,5,0,13,0,16310,0.205,32,f,0,0,4063.318618,2002.64,3500,563.32,0,0,0,2010-08-01,114.13,2010-07-01
116040,116037,5000,5000,775, 36 months,0.0964,160.51,B,B4,3 years,MORTGAGE,130000,Not Verified,2007-08-01,Fully Paid,068xx,CT,8.55,0,01-04-1991,0,38,0,9,0,20969,0.402,26,f,0,0,5778.087809,895.6,5000,778.09,0,0,0,2010-08-01,163.82,2010-08-01
116582,116502,10000,10000,975, 36 months,0.1375,340.57,E,E2,< 1 year,RENT,35000,Not Verified,2007-08-01,Fully Paid,101xx,NY,17.38,0,01-03-2000,0,44,0,10,0,22213,0.659,22,f,0,0,12260.31053,1195.38,10000,2260.31,0,0,0,2010-08-01,343.82,2010-08-01
117056,117046,5000,5000,1475, 36 months,0.0775,156.11,A,A3,1 year,MORTGAGE,225000,Not Verified,2007-08-01,Fully Paid,531xx,WI,6.48,0,01-12-1992,1,47,0,12,0,2160,0.023,22,f,0,0,5592.073299,1649.66,5000,592.07,0,0,0,2010-01-01,1221.57,2010-01-01
117249,116607,5000,5000,1300, 36 months,0.0743,155.38,A,A2,< 1 year,MORTGAGE,70000,Not Verified,2007-08-01,Fully Paid,850xx,AZ,4.56,0,01-09-1980,0,0,0,13,0,813,0.01,36,f,0,0,5495.826405,1428.92,5000,495.83,0,0,0,2009-06-01,2233.27,2009-06-01
117794,94256,7500,7500,400, 36 months,0.0807,235.25,A,A4,1 year,MORTGAGE,150000,Not Verified,2007-08-01,Fully Paid,023xx,MA,2.72,0,01-05-1993,4,0,0,15,0,23678,0.244,60,f,0,0,7826.508179,417.44,7500,326.51,0,0,0,2008-03-01,6415.65,2007-06-01
117863,117849,8000,8000,2275, 36 months,0.0996,257.99,B,B5,3 years,RENT,48000,Not Verified,2007-08-01,Fully Paid,210xx,MD,15.13,0,01-05-2000,3,0,0,10,0,11289,0.478,15,f,0,0,9199.512831,2616.11,8000,1199.51,0,0,0,2010-05-01,154.52,2014-02-01
118523,118519,6500,6500,225, 36 months,0.1501,225.37,F,F1,9 years,MORTGAGE,213000,Not Verified,2007-08-01,Charged Off,300xx,GA,6.45,0,01-07-1990,0,0,0,11,0,56411,0.753,28,f,0,0,4054.35,139.42,2886.21,1168.14,0,0,0,2009-02-01,225.37,2016-05-01
118533,117783,2500,2500,825, 36 months,0.0964,80.26,B,B4,< 1 year,MORTGAGE,75000,Not Verified,2007-08-01,Charged Off,685xx,NE,20,0,01-02-1994,3,0,0,9,0,269,0.038,35,f,0,0,2086.63,688.35,1730.83,354.44,1.36,0,0,2010-03-01,1.4,2016-05-01
118823,118026,2500,2500,675, 36 months,0.128,84,D,D4,< 1 year,MORTGAGE,32000,Not Verified,2007-08-01,Charged Off,685xx,NE,20,0,01-07-1992,1,0,0,11,0,3408,0.351,32,f,0,0,2220.61,599.28,1706.01,477.21,1.69,35.7,0.38,2010-03-01,1.76,2016-05-01
119043,119040,15450,15450,600, 36 months,0.1122,507.46,C,C4,2 years,MORTGAGE,40000,Not Verified,2007-08-01,Charged Off,201xx,VA,13.5,0,01-11-1992,3,54,111,13,1,6513,0.343,29,f,0,0,11652.75,451.73,8688.59,2659.96,0,304.2,3.09,2009-10-01,1016.15,2010-03-01
120215,118760,4000,4000,3575, 36 months,0.0743,124.31,A,A2,< 1 year,RENT,40000,Not Verified,2007-08-01,Fully Paid,080xx,NJ,3.45,0,01-11-2002,0,0,0,2,0,330,0.11,4,f,0,0,4474.37586,3998.97,4000,474.38,0,0,0,2010-08-01,119.24,2015-04-01
120374,119635,2000,2000,475, 36 months,0.087,63.32,B,B1,< 1 year,RENT,70000,Not Verified,2007-08-01,Fully Paid,100xx,NY,6.07,0,01-08-2000,1,24,0,13,0,5967,0.198,17,f,0,0,2279.4299,541.36,2000,279.43,0,0,0,2010-08-01,64.27,2010-08-01
120525,120227,4000,4000,1475, 36 months,0.1091,130.79,C,C3,1 year,RENT,18000,Not Verified,2007-08-01,Fully Paid,232xx,VA,18,0,01-08-2001,1,0,0,4,0,5533,0.796,5,f,0,0,4708.070922,1736.1,4000,708.07,0,0,0,2010-08-01,134.78,2011-06-01
121426,121423,3000,3000,2975, 36 months,0.0775,93.67,A,A3,10+ years,OWN,125000,Not Verified,2007-08-01,Fully Paid,981xx,WA,2.14,0,01-09-1984,0,0,0,15,0,21050,0.01,24,f,0,0,3125.460949,3099.41,3000,125.46,0,0,0,2008-04-01,2563.59,2007-08-01
121530,121527,3000,3000,2225, 36 months,0.0775,93.67,A,A3,9 years,OWN,50000,Not Verified,2007-08-01,Fully Paid,981xx,WA,5.35,0,01-09-1984,0,0,0,17,0,21050,0.007,29,f,0,0,3125.435781,2318.03,3000,125.44,0,0,0,2008-04-01,2563.55,2007-08-01
121535,121373,2800,2800,1625, 36 months,0.087,88.65,B,B1,< 1 year,NONE,120000,Not Verified,2007-08-01,Fully Paid,024xx,MA,15,0,01-05-1999,1,NA,NA,6,0,8155,0.149,8,f,0,0,3191.218575,1852.05,2800,391.22,0,0,0,2010-09-01,89.8,2007-08-01
